0) 3d:-1.80478 -4.20141 -8.94485      2d: 924.336 1287.84
228) 3d:-0.332756 -4.04565 -11.2359      2d: 729.982 1180.3
229) 3d:4.03417 0.861657 -8.19871      2d: 243.975 718.248
230) 3d:3.75506 -1.67527 -8.65853      2d: 295.487 1013.77
231) 3d:3.53016 -0.932592 -8.69134      2d: 322.246 928.469
232) 3d:1.09457 -4.06567 -10.0044      2d: 602.447 1225.7
233) 3d:4.13735 -3.22092 -8.70475      2d: 253.75 1189.37
234) 3d:3.73125 -2.84305 -8.84873      2d: 305.026 1140.88
235) 3d:3.18574 -0.36484 -8.93192      2d: 368.116 862.525
236) 3d:0.266285 -4.11701 -10.256      2d: 683.109 1220.93
237) 3d:4.00976 0.692909 -8.23266      2d: 248.425 739.015
238) 3d:-1.11039 -4.0095 -10.4509      2d: 813.024 1203.22
239) 3d:3.51608 -0.261819 -8.55564      2d: 319.245 852.432
240) 3d:4.32561 0.375252 -8.21062      2d: 209.421 776.885
241) 3d:3.4339 1.98722 -8.28677      2d: 319.365 585.045
242) 3d:3.33266 1.99715 -8.31018      2d: 332.229 584.354
243) 3d:-1.21277 -4.05593 -12.1464      2d: 793.368 1154.69
244) 3d:0.907455 -4.08558 -9.99856      2d: 621.095 1228.1
245) 3d:4.56576 -0.0509673 -8.24144      2d: 182.095 828.081
246) 3d:3.45418 -3.37491 -9.1199      2d: 344.309 1189.72
247) 3d:4.81084 -0.226418 -8.21729      2d: 151.363 849.931
248) 3d:3.62992 -2.36041 -8.8485      2d: 316.328 1086.73
249) 3d:4.09337 2.31772 -7.93095      2d: 224.19 533.166
250) 3d:2.88118 2.08039 -8.7432      2d: 397.019 586.61
251) 3d:4.03286 1.49668 -8.11552      2d: 240.346 639.737
252) 3d:3.68568 1.7158 -8.20086      2d: 286.01 615.254
253) 3d:3.69191 -2.3526 -8.78965      2d: 307.368 1087.56
254) 3d:3.98151 1.97015 -8.05027      2d: 243.63 579.977
255) 3d:3.82863 1.89031 -8.04707      2d: 262.275 590.033
256) 3d:3.4218 0.628745 -8.66781      2d: 333.646 750.311
257) 3d:3.38383 -2.42064 -9.04257      2d: 349.617 1087.54
258) 3d:4.37946 -3.11177 -8.54482      2d: 218.995 1183.48
259) 3d:4.42524 1.315 -8.03765      2d: 188.544 660.558
260) 3d:3.3937 -0.285889 -8.74993      2d: 339.541 854.637
261) 3d:-1.01948 -3.99284 -12.1821      2d: 776.997 1148.66
262) 3d:3.13604 0.571972 -8.78652      2d: 369.592 757.682
263) 3d:3.77986 -1.27572 -8.60123      2d: 290.501 968.979
264) 3d:3.35966 -0.388701 -8.77892      2d: 344.286 866.087
265) 3d:3.33654 0.757961 -8.55456      2d: 339.856 734.325
266) 3d:4.03647 1.03336 -8.19217      2d: 243.39 697.543
267) 3d:3.61132 -4.42294 -9.14119      2d: 327.92 1302.3
268) 3d:4.56438 0.253499 -8.16288      2d: 178.168 791.586
269) 3d:3.9734 0.887743 -8.19503      2d: 251.144 714.943
270) 3d:4.10373 0.498278 -8.23305      2d: 237.163 762.269
271) 3d:4.53253 -0.507144 -8.27549      2d: 187.851 882.862
272) 3d:3.29822 -0.476987 -8.85606      2d: 353.478 875.456
273) 3d:4.04726 2.04908 -8.03356      2d: 234.778 569.955
274) 3d:2.91784 -4.20502 -9.19678      2d: 404.552 1276
275) 3d:4.16732 2.18231 -7.991      2d: 217.934 552.304
276) 3d:4.46181 0.55882 -8.19317      2d: 192.116 754.656
277) 3d:4.73037 -0.226598 -8.21358      2d: 160.837 849.441
278) 3d:3.58378 -1.7318 -8.81853      2d: 320.434 1016.59
279) 3d:3.18676 1.45644 -8.57675      2d: 357.737 653.966
280) 3d:3.85224 -3.73959 -8.89178      2d: 293.089 1239.66
281) 3d:3.21447 0.857 -8.60508      2d: 355.471 723.649
282) 3d:4.29524 -0.129835 -8.24751      2d: 214.885 837.831
283) 3d:2.98684 -4.16618 -9.229      2d: 397.855 1270.51
284) 3d:3.76998 -4.19822 -9.01915      2d: 306.655 1284.41
285) 3d:3.5879 -0.245871 -8.5847      2d: 311.935 850.521
286) 3d:3.14236 -0.771691 -9.02914      2d: 375.545 906.962
287) 3d:4.082 0.102576 -8.32928      2d: 244.072 810.598
288) 3d:3.28444 -0.572414 -8.86268      2d: 355.224 886.08
289) 3d:4.16247 0.539397 -8.21837      2d: 229.427 757.253
